Ceremony	Year	Class	Category	Movie	Name	Nominees	Winner	Detail	Note
83	2010	Production	FILM EDITING	The Social Network	Angus Wall and Kirk Baxter	Angus Wall|Kirk Baxter	True		
83	2010	Title	FOREIGN LANGUAGE FILM	Biutiful	Mexico				
83	2010	Title	FOREIGN LANGUAGE FILM	Dogtooth	Greece				
83	2010	Title	FOREIGN LANGUAGE FILM	In a Better World	Denmark		True		
83	2010	Title	FOREIGN LANGUAGE FILM	Incendies	Canada				
83	2010	Title	FOREIGN LANGUAGE FILM	Outside the Law (Hors-la-loi)	Algeria				
83	2010	Production	MAKEUP	Barney's Version	Adrien Morot	Adrien Morot			
83	2010	Production	MAKEUP	The Way Back	Edouard F. Henriques, Gregory Funk and Yolanda Toussieng	Edouard F. Henriques|Gregory Funk|Yolanda Toussieng			
83	2010	Production	MAKEUP	The Wolfman	Rick Baker and Dave Elsey	Rick Baker|Dave Elsey	True		
83	2010	Music	MUSIC (Original Score)	How to Train Your Dragon	John Powell	John Powell			
83	2010	Music	MUSIC (Original Score)	Inception	Hans Zimmer	Hans Zimmer			
83	2010	Music	MUSIC (Original Score)	The King's Speech	Alexandre Desplat	Alexandre Desplat			
83	2010	Music	MUSIC (Original Score)	127 Hours	A.R. Rahman	A.R. Rahman			
83	2010	Music	MUSIC (Original Score)	The Social Network	Trent Reznor and Atticus Ross	Trent Reznor|Atticus Ross	True		
83	2010	Music	MUSIC (Original Song)	Country Strong	Music and Lyric by Tom Douglas, Troy Verges and Hillary Lindsey	Tom Douglas|Troy Verges|Hillary Lindsey		Coming Home	
83	2010	Music	MUSIC (Original Song)	Tangled	Music by Alan Menken; Lyric by Glenn Slater	Alan Menken|Glenn Slater		I See The Light	
83	2010	Music	MUSIC (Original Song)	127 Hours	Music by A.R. Rahman; Lyric by Dido and Rollo Armstrong	A.R. Rahman|Dido|Rollo Armstrong		If I Rise	
83	2010	Music	MUSIC (Original Song)	Toy Story 3	Music and Lyric by Randy Newman	Randy Newman	True	We Belong Together	
83	2010	Title	BEST PICTURE	Black Swan	Mike Medavoy, Brian Oliver and Scott Franklin, Producers	Mike Medavoy|Brian Oliver|Scott Franklin			
83	2010	Title	BEST PICTURE	The Fighter	David Hoberman, Todd Lieberman and Mark Wahlberg, Producers	David Hoberman|Todd Lieberman|Mark Wahlberg			
83	2010	Title	BEST PICTURE	Inception	Emma Thomas and Christopher Nolan, Producers	Emma Thomas|Christopher Nolan			
83	2010	Title	BEST PICTURE	The Kids Are All Right	Gary Gilbert, Jeffrey Levy-Hinte and Celine Rattray, Producers	Gary Gilbert|Jeffrey Levy-Hinte|Celine Rattray			
83	2010	Title	BEST PICTURE	The King's Speech	Iain Canning, Emile Sherman and Gareth Unwin, Producers	Iain Canning|Emile Sherman|Gareth Unwin	True		
83	2010	Title	BEST PICTURE	127 Hours	Christian Colson, Danny Boyle and John Smithson, Producers	Christian Colson|Danny Boyle|John Smithson			
83	2010	Title	BEST PICTURE	The Social Network	Scott Rudin, Dana Brunetti, Michael De Luca and Ceán Chaffin, Producers	Scott Rudin|Dana Brunetti|Michael De Luca|Ceán Chaffin			
83	2010	Title	BEST PICTURE	Toy Story 3	Darla K. Anderson, Producer	Darla K. Anderson			
83	2010	Title	BEST PICTURE	True Grit	Scott Rudin, Ethan Coen and Joel Coen, Producers	Scott Rudin|Ethan Coen|Joel Coen			
83	2010	Title	BEST PICTURE	Winter's Bone	Anne Rosellini and Alix Madigan-Yorkin, Producers	Anne Rosellini|Alix Madigan-Yorkin			
83	2010	Title	SHORT FILM (Animated)	Day & Night	Teddy Newton	Teddy Newton			
83	2010	Title	SHORT FILM (Animated)	The Gruffalo	Jakob Schuh and Max Lang	Jakob Schuh|Max Lang			
83	2010	Title	SHORT FILM (Animated)	Let's Pollute	Geefwee Boedoe	Geefwee Boedoe			
83	2010	Title	SHORT FILM (Animated)	The Lost Thing	Shaun Tan and Andrew Ruhemann	Shaun Tan|Andrew Ruhemann	True		
83	2010	Title	SHORT FILM (Animated)	Madagascar, carnet de voyage (Madagascar, a Journey Diary)	Bastien Dubois	Bastien Dubois			
83	2010	Title	SHORT FILM (Live Action)	The Confession	Tanel Toom	Tanel Toom			
83	2010	Title	SHORT FILM (Live Action)	The Crush	Michael Creagh	Michael Creagh			
83	2010	Title	SHORT FILM (Live Action)	God of Love	Luke Matheny	Luke Matheny	True		
83	2010	Title	SHORT FILM (Live Action)	Na Wewe	Ivan Goldschmidt	Ivan Goldschmidt			
83	2010	Title	SHORT FILM (Live Action)	Wish 143	Ian Barnes and Samantha Waite	Ian Barnes|Samantha Waite			
83	2010	Production	SOUND EDITING	Inception	Richard King	Richard King	True		
83	2010	Production	SOUND EDITING	Toy Story 3	Tom Myers and Michael Silvers	Tom Myers|Michael Silvers			
83	2010	Production	SOUND EDITING	Tron: Legacy	Gwendolyn Yates Whittle and Addison Teague	Gwendolyn Yates Whittle|Addison Teague			
83	2010	Production	SOUND EDITING	True Grit	Skip Lievsay and Craig Berkey	Skip Lievsay|Craig Berkey			
83	2010	Production	SOUND EDITING	Unstoppable	Mark P. Stoeckinger	Mark P. Stoeckinger			
83	2010	Production	SOUND MIXING	Inception	Lora Hirschberg, Gary A. Rizzo and Ed Novick	Lora Hirschberg|Gary A. Rizzo|Ed Novick	True		
83	2010	Production	SOUND MIXING	The King's Speech	Paul Hamblin, Martin Jensen and John Midgley	Paul Hamblin|Martin Jensen|John Midgley			
83	2010	Production	SOUND MIXING	Salt	Jeffrey J. Haboush, Greg P. Russell, Scott Millan and William Sarokin	Jeffrey J. Haboush|Greg P. Russell|Scott Millan|William Sarokin			
83	2010	Production	SOUND MIXING	The Social Network	Ren Klyce, David Parker, Michael Semanick and Mark Weingarten	Ren Klyce|David Parker|Michael Semanick|Mark Weingarten			
83	2010	Production	SOUND MIXING	True Grit	Skip Lievsay, Craig Berkey, Greg Orloff and Peter F. Kurland	Skip Lievsay|Craig Berkey|Greg Orloff|Peter F. Kurland			
83	2010	Production	VISUAL EFFECTS	Alice in Wonderland	Ken Ralston, David Schaub, Carey Villegas and Sean Phillips	Ken Ralston|David Schaub|Carey Villegas|Sean Phillips			
83	2010	Production	VISUAL EFFECTS	Harry Potter and the Deathly Hallows Part 1	Tim Burke, John Richardson, Christian Manz and Nicolas Aithadi	Tim Burke|John Richardson|Christian Manz|Nicolas Aithadi			
83	2010	Production	VISUAL EFFECTS	Hereafter	Michael Owens, Bryan Grill, Stephan Trojansky and Joe Farrell	Michael Owens|Bryan Grill|Stephan Trojansky|Joe Farrell			
83	2010	Production	VISUAL EFFECTS	Inception	Paul Franklin, Chris Corbould, Andrew Lockley and Peter Bebb	Paul Franklin|Chris Corbould|Andrew Lockley|Peter Bebb	True		
83	2010	Production	VISUAL EFFECTS	Iron Man 2	Janek Sirrs, Ben Snow, Ged Wright and Daniel Sudick	Janek Sirrs|Ben Snow|Ged Wright|Daniel Sudick			
83	2010	Writing	WRITING (Adapted Screenplay)	127 Hours	Screenplay by Danny Boyle & Simon Beaufoy	Danny Boyle|Simon Beaufoy			
83	2010	Writing	WRITING (Adapted Screenplay)	The Social Network	Screenplay by Aaron Sorkin	Aaron Sorkin	True		
83	2010	Writing	WRITING (Adapted Screenplay)	Toy Story 3	Screenplay by Michael Arndt; Story by John Lasseter, Andrew Stanton and Lee Unkrich	Michael Arndt|John Lasseter|Andrew Stanton|Lee Unkrich			
83	2010	Writing	WRITING (Adapted Screenplay)	True Grit	Written for the screen by Joel Coen & Ethan Coen	Joel Coen|Ethan Coen			
83	2010	Writing	WRITING (Adapted Screenplay)	Winter's Bone	Adapted for the screen by Debra Granik & Anne Rosellini	Debra Granik|Anne Rosellini			
83	2010	Writing	WRITING (Original Screenplay)	Another Year	Written by Mike Leigh	Mike Leigh			
83	2010	Writing	WRITING (Original Screenplay)	The Fighter	Screenplay by Scott Silver and Paul Tamasy & Eric Johnson; Story by Keith Dorrington & Paul Tamasy & Eric Johnson	Scott Silver|Paul Tamasy|Eric Johnson|Keith Dorrington			
83	2010	Writing	WRITING (Original Screenplay)	Inception	Written by Christopher Nolan	Christopher Nolan			
83	2010	Writing	WRITING (Original Screenplay)	The Kids Are All Right	Written by Lisa Cholodenko & Stuart Blumberg	Lisa Cholodenko|Stuart Blumberg			
83	2010	Writing	WRITING (Original Screenplay)	The King's Speech	Screenplay by David Seidler	David Seidler	True		
83	2010	Special	HONORARY AWARD			Kevin Brownlow	True		
83	2010	Special	HONORARY AWARD			Jean-Luc Godard	True		
83	2010	Special	HONORARY AWARD			Eli Wallach	True		
83	2010	Special	IRVING G. THALBERG MEMORIAL AWARD		Francis Ford Coppola	Francis Ford Coppola	True		
83	2010	SciTech	SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award)			Dr. Mark Sagar	True	Digital Imaging Technology	Dr. Sagar's work led to a method for transforming facial motion capture data into an expression-based, editable character animation system that has been used in motion pictures with a high volume of digital characters.
83	2010	SciTech	SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award)			Mark Noel|John Frazier	True	Stage Operations	The NAC System allows full-size cars, aircraft and other heavy props to be flown on wires with unprecedented freedom of motion and a high degree of safety, on-set and in real time. The intuitive control system responds to the motion of the operator's hand, permitting the recording and playback of all axes of motion simultaneously, which may be edited and refined for playback in subsequent takes.
83	2010	SciTech	SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award)			James Rodnunsky|ALEX MacDONALD|Mark Chapman	True	Camera Cranes	The evolution of the Cablecam technology has made it possible to move a camera safely and accurately anywhere through a three-dimensional space.
83	2010	SciTech	SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award)			Tim Drnec|Ben Britten Smith|Matt Davis	True	Camera Cranes	The evolution of the Spydercam technology has made it possible to move a camera safely and accurately anywhere through a three-dimensional space.
83	2010	SciTech	SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)			Greg Ercolano	True	Digital Imaging Technology	Mr. Ercolano's work has been influential across the industry, and has enabled scalable render farms at numerous studios.
83	2010	SciTech	SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)			David M. Laur	True	Digital Imaging Technology	This system was the first robust, scalable, widely adopted commercial solution for queue management in the motion picture industry. Its user interface and support for multi-machine assignment influenced the design of modern day queue management tools.
83	2010	SciTech	SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)			Chris Allen|Gautham Krishnamurti|Mark A. Brown|Lance Kimes	True	Digital Imaging Technology	Queue was one of the first systems that allowed for statistical analysis and process introspection, providing a framework for the efficient use of render farms.
83	2010	SciTech	SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)			Florian Kainz	True	Digital Imaging Technology	ObaQ has scaled from managing a few hundred processors in 1997 to many thousands today, with minimal changes to the original design.
83	2010	SciTech	SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)			Eric Tabellion|Arnauld Lamorlette	True	Digital Imaging Technology	"This important step in the evolution of global illumination techniques, first used on the motion picture \""Shrek 2,\"" was shared with the industry in their technical paper \""An Approximate Global Illumination System for Computer Generated Films.\"""
83	2010	SciTech	SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)			Tony Clark|Alan Rogers|Neil Wilson|RORY McGREGOR	True	Systems	Easy to use, cineSync has become a widely accepted solution for remote production collaboration.
83	2010	Special	JOHN A. BONNER MEDAL OF COMMENDATION			Denny Clairmont	True		
84	2011	Acting	ACTOR IN A LEADING ROLE	A Better Life	Demián Bichir	Demián Bichir		Carlos Galindo	
84	2011	Acting	ACTOR IN A LEADING ROLE	The Descendants	George Clooney	George Clooney		Matt King	
84	2011	Acting	ACTOR IN A LEADING ROLE	The Artist	Jean Dujardin	Jean Dujardin	True	George Valentin	
84	2011	Acting	ACTOR IN A LEADING ROLE	Tinker Tailor Soldier Spy	Gary Oldman	Gary Oldman		George Smiley	
84	2011	Acting	ACTOR IN A LEADING ROLE	Moneyball	Brad Pitt	Brad Pitt		Billy Beane	
84	2011	Acting	ACTOR IN A SUPPORTING ROLE	My Week with Marilyn	Kenneth Branagh	Kenneth Branagh		Sir Laurence Olivier	
84	2011	Acting	ACTOR IN A SUPPORTING ROLE	Moneyball	Jonah Hill	Jonah Hill		Peter Brand	
84	2011	Acting	ACTOR IN A SUPPORTING ROLE	Warrior	Nick Nolte	Nick Nolte		Paddy Conlon	
84	2011	Acting	ACTOR IN A SUPPORTING ROLE	Beginners	Christopher Plummer	Christopher Plummer	True	Hal	
84	2011	Acting	ACTOR IN A SUPPORTING ROLE	Extremely Loud & Incredibly Close	Max von Sydow	Max von Sydow		The Renter	
84	2011	Acting	ACTRESS IN A LEADING ROLE	Albert Nobbs	Glenn Close	Glenn Close		Albert Nobbs	
84	2011	Acting	ACTRESS IN A LEADING ROLE	The Help	Viola Davis	Viola Davis		Aibileen Clark	
84	2011	Acting	ACTRESS IN A LEADING ROLE	The Girl with the Dragon Tattoo	Rooney Mara	Rooney Mara		Lisbeth Salander	
84	2011	Acting	ACTRESS IN A LEADING ROLE	The Iron Lady	Meryl Streep	Meryl Streep	True	Margaret Thatcher	
84	2011	Acting	ACTRESS IN A LEADING ROLE	My Week with Marilyn	Michelle Williams	Michelle Williams		Marilyn Monroe	
84	2011	Acting	ACTRESS IN A SUPPORTING ROLE	The Artist	Bérénice Bejo	Bérénice Bejo		Peppy Miller	
84	2011	Acting	ACTRESS IN A SUPPORTING ROLE	The Help	Jessica Chastain	Jessica Chastain		Celia Foote	
84	2011	Acting	ACTRESS IN A SUPPORTING ROLE	Bridesmaids	Melissa McCarthy	Melissa McCarthy		Megan	
84	2011	Acting	ACTRESS IN A SUPPORTING ROLE	Albert Nobbs	Janet McTeer	Janet McTeer		Hubert Page	
84	2011	Acting	ACTRESS IN A SUPPORTING ROLE	The Help	Octavia Spencer	Octavia Spencer	True	Minny Jackson	
84	2011	Title	ANIMATED FEATURE FILM	A Cat in Paris	Alain Gagnol and Jean-Loup Felicioli	Alain Gagnol|Jean-Loup Felicioli			
84	2011	Title	ANIMATED FEATURE FILM	Chico & Rita	Fernando Trueba and Javier Mariscal	Fernando Trueba|Javier Mariscal			
84	2011	Title	ANIMATED FEATURE FILM	Kung Fu Panda 2	Jennifer Yuh Nelson	Jennifer Yuh Nelson			
84	2011	Title	ANIMATED FEATURE FILM	Puss in Boots	Chris Miller	Chris Miller			
84	2011	Title	ANIMATED FEATURE FILM	Rango	Gore Verbinski	Gore Verbinski	True		
84	2011	Production	ART DIRECTION	The Artist	Production Design: Laurence Bennett; Set Decoration: Robert Gould	Laurence Bennett|Robert Gould			
84	2011	Production	ART DIRECTION	Harry Potter and the Deathly Hallows Part 2	Production Design: Stuart Craig; Set Decoration: Stephenie McMillan	Stuart Craig|Stephenie McMillan			
84	2011	Production	ART DIRECTION	Hugo	Production Design: Dante Ferretti; Set Decoration: Francesca Lo Schiavo	Dante Ferretti|Francesca Lo Schiavo	True		
84	2011	Production	ART DIRECTION	Midnight in Paris	Production Design: Anne Seibel; Set Decoration: Hélène Dubreuil	Anne Seibel|Hélène Dubreuil			
84	2011	Production	ART DIRECTION	War Horse	Production Design: Rick Carter; Set Decoration: Lee Sandales	Rick Carter|Lee Sandales			
84	2011	Production	CINEMATOGRAPHY	The Artist	Guillaume Schiffman	Guillaume Schiffman			
84	2011	Production	CINEMATOGRAPHY	The Girl with the Dragon Tattoo	Jeff Cronenweth	Jeff Cronenweth			
84	2011	Production	CINEMATOGRAPHY	Hugo	Robert Richardson	Robert Richardson	True		
84	2011	Production	CINEMATOGRAPHY	The Tree of Life	Emmanuel Lubezki	Emmanuel Lubezki			
84	2011	Production	CINEMATOGRAPHY	War Horse	Janusz Kaminski	Janusz Kaminski			
84	2011	Production	COSTUME DESIGN	Anonymous	Lisy Christl	Lisy Christl			
84	2011	Production	COSTUME DESIGN	The Artist	Mark Bridges	Mark Bridges	True		
84	2011	Production	COSTUME DESIGN	Hugo	Sandy Powell	Sandy Powell			
84	2011	Production	COSTUME DESIGN	Jane Eyre	Michael O'Connor	Michael O'Connor			
84	2011	Production	COSTUME DESIGN	W.E.	Arianne Phillips	Arianne Phillips			
84	2011	Directing	DIRECTING	The Artist	Michel Hazanavicius	Michel Hazanavicius	True		
84	2011	Directing	DIRECTING	The Descendants	Alexander Payne	Alexander Payne			
84	2011	Directing	DIRECTING	Hugo	Martin Scorsese	Martin Scorsese			
84	2011	Directing	DIRECTING	Midnight in Paris	Woody Allen	Woody Allen			
84	2011	Directing	DIRECTING	The Tree of Life	Terrence Malick	Terrence Malick			
84	2011	Title	DOCUMENTARY (Feature)	Hell and Back Again	Danfung Dennis and Mike Lerner	Danfung Dennis|Mike Lerner			
84	2011	Title	DOCUMENTARY (Feature)	If a Tree Falls: A Story of the Earth Liberation Front	Marshall Curry and Sam Cullman	Marshall Curry|Sam Cullman			
84	2011	Title	DOCUMENTARY (Feature)	Paradise Lost 3: Purgatory	Joe Berlinger and Bruce Sinofsky	Joe Berlinger|Bruce Sinofsky			
84	2011	Title	DOCUMENTARY (Feature)	Pina	Wim Wenders and Gian-Piero Ringel	Wim Wenders|Gian-Piero Ringel			
84	2011	Title	DOCUMENTARY (Feature)	Undefeated	TJ Martin, Dan Lindsay and Rich Middlemas	TJ Martin|Dan Lindsay|Rich Middlemas	True		
84	2011	Title	DOCUMENTARY (Short Subject)	The Barber of Birmingham: Foot Soldier of the Civil Rights Movement	Robin Fryday and Gail Dolgin	Robin Fryday|Gail Dolgin			
84	2011	Title	DOCUMENTARY (Short Subject)	God Is the Bigger Elvis	Rebecca Cammisa and Julie Anderson	Rebecca Cammisa|Julie Anderson			
84	2011	Title	DOCUMENTARY (Short Subject)	Incident in New Baghdad	James Spione	James Spione			
84	2011	Title	DOCUMENTARY (Short Subject)	Saving Face	Daniel Junge and Sharmeen Obaid-Chinoy	Daniel Junge|Sharmeen Obaid-Chinoy	True		
84	2011	Title	DOCUMENTARY (Short Subject)	The Tsunami and the Cherry Blossom	Lucy Walker and Kira Carstensen	Lucy Walker|Kira Carstensen			
84	2011	Production	FILM EDITING	The Artist	Anne-Sophie Bion and Michel Hazanavicius	Anne-Sophie Bion|Michel Hazanavicius			
84	2011	Production	FILM EDITING	The Descendants	Kevin Tent	Kevin Tent			
84	2011	Production	FILM EDITING	The Girl with the Dragon Tattoo	Kirk Baxter and Angus Wall	Kirk Baxter|Angus Wall	True		
84	2011	Production	FILM EDITING	Hugo	Thelma Schoonmaker	Thelma Schoonmaker			
84	2011	Production	FILM EDITING	Moneyball	Christopher Tellefsen	Christopher Tellefsen			
84	2011	Title	FOREIGN LANGUAGE FILM	Bullhead	Belgium				
84	2011	Title	FOREIGN LANGUAGE FILM	Footnote	Israel				
84	2011	Title	FOREIGN LANGUAGE FILM	In Darkness	Poland				
84	2011	Title	FOREIGN LANGUAGE FILM	Monsieur Lazhar	Canada				
84	2011	Title	FOREIGN LANGUAGE FILM	A Separation	Iran		True		
84	2011	Production	MAKEUP		Martial Corneville, Lynn Johnston and Matthew W. Mungle	Martial Corneville|Lynn Johnston|Matthew W. Mungle			
84	2011	Production	MAKEUP	Harry Potter and the Deathly Hallows Part 2	Nick Dudman, Amanda Knight and Lisa Tomblin	Nick Dudman|Amanda Knight|Lisa Tomblin			
84	2011	Production	MAKEUP	The Iron Lady	Mark Coulier and J. Roy Helland	Mark Coulier|J. Roy Helland	True		
84	2011	Music	MUSIC (Original Score)	The Adventures of Tintin	John Williams	John Williams			
84	2011	Music	MUSIC (Original Score)	The Artist	Ludovic Bource	Ludovic Bource	True		
84	2011	Music	MUSIC (Original Score)	Hugo	Howard Shore	Howard Shore			
84	2011	Music	MUSIC (Original Score)	Tinker Tailor Soldier Spy	Alberto Iglesias	Alberto Iglesias			
84	2011	Music	MUSIC (Original Score)	War Horse	John Williams	John Williams			
84	2011	Music	MUSIC (Original Song)	The Muppets	Music and Lyric by Bret McKenzie	Bret McKenzie	True	Man Or Muppet	
84	2011	Music	MUSIC (Original Song)	Rio	Music by Sergio Mendes and Carlinhos Brown; Lyric by Siedah Garrett	Sergio Mendes|Carlinhos Brown|Siedah Garrett		Real In Rio	
84	2011	Title	BEST PICTURE	The Artist	Thomas Langmann, Producer	Thomas Langmann	True		
84	2011	Title	BEST PICTURE	The Descendants	Jim Burke, Alexander Payne and Jim Taylor, Producers	Jim Burke|Alexander Payne|Jim Taylor			
84	2011	Title	BEST PICTURE	Extremely Loud & Incredibly Close	Scott Rudin, Producer	Scott Rudin			
84	2011	Title	BEST PICTURE	The Help	Brunson Green, Chris Columbus and Michael Barnathan, Producers	Brunson Green|Chris Columbus|Michael Barnathan			
84	2011	Title	BEST PICTURE	Hugo	Graham King and Martin Scorsese, Producers	Graham King|Martin Scorsese			
84	2011	Title	BEST PICTURE	Midnight in Paris	Letty Aronson and Stephen Tenenbaum, Producers	Letty Aronson|Stephen Tenenbaum			
84	2011	Title	BEST PICTURE	Moneyball	Michael De Luca, Rachael Horovitz and Brad Pitt, Producers	Michael De Luca|Rachael Horovitz|Brad Pitt			
84	2011	Title	BEST PICTURE	The Tree of Life	Sarah Green, Bill Pohlad, Dede Gardner and Grant Hill, Producers	Sarah Green|Bill Pohlad|Dede Gardner|Grant Hill			
